num	folder	filename	time (unix)	zone 1	zone 2	zone 3
0	img1	img-00610.png	1599832397.1402993	66.13258875149582	85.9093006993007	85.13082784450471
5	img1	img-00615.png	1599832407.1393206	65.87304879670256	85.7674125874126	85.02918765336433
10	img1	img-00620.png	1599832417.140459	65.70301821566281	85.5386013986014	84.9298721425804
15	img1	img-00625.png	1599832427.1457045	65.91182023667065	85.84034965034965	85.06819062378923
20	img1	img-00630.png	1599832437.143293	65.83281478526791	85.82132867132867	85.08136381247579
25	img1	img-00635.png	1599832447.14138	65.79526658689004	85.7886013986014	85.07865168539325
30	img2	img-00640.png	1599832457.1407073	65.71328280813722	85.40041958041958	84.77889706831978
35	img2	img-00645.png	1599832467.1425645	65.72676505783805	84.92902097902098	84.42025054888286
40	img2	img-00650.png	1599832477.1417935	65.70091743119266	84.56363636363636	84.17525506909466
45	img2	img-00655.png	1599832487.141049	65.75604307937775	84.25104895104896	83.96965000645744
