num	folder	filename	time (unix)	zone 1	zone 2	zone 3
0	img1	img-00610.png	1599832397.1402993	69.79234616220917	61.98828068483241	87.33398110661268
1	img1	img-00611.png	1599832399.1389556	69.68248532289628	61.91936339522547	87.31541160593792
2	img1	img-00612.png	1599832401.1406019	69.71178517068928	61.9622859898722	87.3774358974359
3	img1	img-00613.png	1599832403.1409893	69.59464013916069	61.87181094767302	87.30369770580297
4	img1	img-00614.png	1599832405.1396675	69.6022504892368	61.88685796961659	87.26307692307692
5	img1	img-00615.png	1599832407.1393209	69.55528375733856	61.82647697130456	87.23441295546559
6	img1	img-00616.png	1599832409.1389475	69.52685366383996	61.82691102001447	87.2114439946019
7	img1	img-00617.png	1599832411.139509	69.36545988258317	61.84311550518447	87.1319028340081
8	img1	img-00618.png	1599832413.142153	69.29250924113938	61.809307933445865	87.0914709851552
9	img1	img-00619.png	1599832415.140831	69.3168080017395	61.79141548107065	87.07290148448043
10	img1	img-00620.png	1599832417.140459	69.28228962818004	61.751965276103206	87.01886639676114
11	img1	img-00621.png	1599832419.1411104	69.21906936290497	61.786496262358334	87.04078272604589
12	img1	img-00622.png	1599832421.1400585	69.25081539465101	61.789197009886664	87.04415654520918
13	img1	img-00623.png	1599832423.1392882	69.49418351815612	61.86250301422715	87.20801619433199
14	img1	img-00624.png	1599832425.1453435	69.53962818003914	61.90532915360502	87.28180836707152
15	img1	img-00625.png	1599832427.1457045	69.63682322243966	61.96276826621654	87.3348987854251
16	img1	img-00626.png	1599832429.140824	69.6314959773864	61.97680250783699	87.30923076923077
17	img1	img-00627.png	1599832431.1424701	69.63470319634703	61.94984326018809	87.35935222672065
18	img1	img-00628.png	1599832433.1424892	69.60877364644487	61.96180371352785	87.3425371120108
19	img1	img-00629.png	1599832435.1440556	69.61904761904762	61.948444658789484	87.3442914979757
20	img1	img-00630.png	1599832437.143293	69.58893237660361	61.91695201350374	87.31727395411606
21	img1	img-00631.png	1599832439.139143	69.6545988258317	61.9959488787075	87.38604588394062
22	img1	img-00632.png	1599832441.1437526	69.66960208741031	61.95707740535327	87.41392712550608
23	img1	img-00633.png	1599832443.1424072	69.64166123070233	61.94911984567157	87.31638326585696
24	img1	img-00634.png	1599832445.140759	69.6398673624701	61.9798890764408	87.40261808367072
25	img1	img-00635.png	1599832447.14138	69.64166123070233	61.94540631782011	87.31290148448043
26	img1	img-00636.png	1599832449.1410673	69.69341161121983	61.95997106341934	87.23843454790823
27	img1	img-00637.png	1599832451.1477141	69.70221787345075	61.96209307933446	87.17546558704453
28	img1	img-00638.png	1599832453.143363	69.64796694933682	61.90040993489269	87.08107962213225
29	img1	img-00639.png	1599832455.1430159	69.62606001304631	61.851796479382685	86.99435897435897
30	img2	img-00640.png	1599832457.1407073	69.63171341596	61.85705329153605	86.9774358974359
31	img2	img-00641.png	1599832459.1420429	69.66780821917808	61.86544489992766	86.88842105263159
32	img2	img-00642.png	1599832461.1455631	69.76206784083496	61.87518688208343	86.96045883940621
33	img2	img-00643.png	1599832463.1432335	69.65780604479235	61.821220159151196	86.73198380566802
34	img2	img-00644.png	1599832465.1429121	69.59904327027614	61.7891005546178	86.58431848852902
35	img2	img-00645.png	1599832467.1425643	69.67737551641662	61.83149264528575	86.57632928475034
36	img2	img-00646.png	1599832469.1402218	69.62986518808437	61.802941885700506	86.49892037786775
37	img2	img-00647.png	1599832471.138849	69.63872580995869	61.83467566915843	86.52275303643725
38	img2	img-00648.png	1599832473.1394978	69.61377473363775	61.79271762720039	86.3774089068826
39	img2	img-00649.png	1599832475.1391482	69.62567949554251	61.78982396913431	86.32912280701754
40	img2	img-00650.png	1599832477.1417935	69.59404218308327	61.773233662888835	86.30437246963562
41	img2	img-00651.png	1599832479.1424422	69.61502500543597	61.81345551000724	86.27843454790823
42	img2	img-00652.png	1599832481.1401272	69.58490976299196	61.784374246443214	86.20458839406207
43	img2	img-00653.png	1599832483.1417463	69.60643618177865	61.79020979020979	86.12844804318489
44	img2	img-00654.png	1599832485.1413972	69.58501848227876	61.7864480347239	86.11757085020243
45	img2	img-00655.png	1599832487.1410487	69.5954011741683	61.773957077405356	86.04820512820513
46	img2	img-00656.png	1599832489.141698	69.61111111111111	61.817844224740774	86.07117408906882
47	img2	img-00657.png	1599832491.140352	69.58670363122418	61.826573426573425	85.99908232118759
48	img2	img-00658.png	1599832493.1390076	69.60909980430529	61.8417651314203	86.05352226720647
49	img2	img-00659.png	1599832495.141651	69.60534898891063	61.82194357366771	85.92035087719299
