num	folder	filename	time (unix)	zone 1	ratio
0	data/front-flick	img-00000.png	1708332163.8355691	1.0	1.0
1	data/front-flick	img-00001.png	1708332163.8390825	0.9468005469044835	0.9468005469044835
2	data/front-flick	img-00002.png	1708332163.8418703	0.9257471989705326	0.9257471989705326
3	data/front-flick	img-00003.png	1708332163.8446949	0.9624807438890848	0.9624807438890848
4	data/front-flick	img-00004.png	1708332163.847078	0.9640212327623007	0.9640212327623007
5	data/front-flick	img-00005.png	1708332163.849324	1.0011445399258831	1.0011445399258831
6	data/front-flick	img-00006.png	1708332163.8515096	0.9192264147441489	0.9192264147441489
7	data/front-flick	img-00007.png	1708332163.853726	0.9830205955319635	0.9830205955319635
8	data/front-flick	img-00008.png	1708332163.856017	0.9993844231209438	0.9993844231209438
9	data/front-flick	img-00009.png	1708332163.858119	0.9603061180299065	0.9603061180299065
10	data/front-flick	img-00010.png	1708332163.8601775	0.8722012905461002	0.8722012905461002
11	data/front-flick	img-00011.png	1708332163.8623376	0.9917283790221297	0.9917283790221297
12	data/front-flick	img-00012.png	1708332163.8643699	0.9949671176772644	0.9949671176772644
13	data/front-flick	img-00013.png	1708332163.8663685	1.0086892233832598	1.0086892233832598
14	data/front-flick	img-00014.png	1708332163.8683274	0.9409293664198173	0.9409293664198173
15	data/front-flick	img-00015.png	1708332163.8705733	0.9934111620482933	0.9934111620482933
16	data/front-flick	img-00016.png	1708332163.8724275	0.9696016382387695	0.9696016382387695
17	data/front-flick	img-00017.png	1708332163.8742867	0.9845054040844607	0.9845054040844607
18	data/front-flick	img-00018.png	1708332163.8761215	0.9771896286122607	0.9771896286122607
19	data/front-flick	img-00019.png	1708332163.8780196	0.9300655171773788	0.9300655171773788
20	data/front-flick	img-00020.png	1708332163.879876	0.9774896836739112	0.9774896836739112
21	data/front-flick	img-00021.png	1708332163.881759	0.9983110302715343	0.9983110302715343
22	data/front-flick	img-00022.png	1708332163.8836718	0.9178931803980523	0.9178931803980523
23	data/front-flick	img-00023.png	1708332163.8857253	0.9869027512265137	0.9869027512265137
24	data/front-flick	img-00024.png	1708332163.8876462	0.9648966511380439	0.9648966511380439
