num	x1	y1	p1	a1
86	50.01846034544432	39.57315073622275	22.246286430606744	-38.682626582323266
87	49.059463229378075	41.55639935153348	21.81816927728121	-37.342447109039306
88	51.09174751266085	40.60607667113926	22.363093444503995	-39.0396678975425
89	52.248388526340676	42.48259216414826	21.934917186436124	-37.66038955798342
90	54.85114849354035	40.03901003711541	22.326198071257934	-38.93717362030089
91	53.68948883407977	39.5264637353758	22.621813746204783	-39.906582097421975
92	54.92541857951733	38.51464180896249	22.429494256857346	-39.473174607687824
93	53.058766335760424	38.21758908537897	22.338180878579017	-38.82280129295356
94	54.04155320572602	39.46314423479529	22.51827768048347	-39.79452568371891
95	52.19769834108703	39.246118378936735	22.621853329842683	-39.79958379721738
96	53.12730659575325	34.61997456291561	22.425656455400233	-39.32812820168276
97	55.14633681765272	36.597730151112465	22.183581777542614	-38.48465420299201
98	55.39276652406288	37.05178477435235	22.07245686619467	-38.09358890109114
99	56.915128609449376	35.79419948125983	22.103631117738733	-38.238448931387396
100	58.37904831505978	38.54695299443291	21.982052142806115	-37.770897553962264
101	57.53282050909501	39.48455079320832	21.465089714004606	-35.92210351144519
102	61.240682020421055	38.58828318573384	22.070865837103046	-38.11983638682752
103	59.13875538199149	38.91211762264965	22.266154303255846	-38.798842963461894
104	56.72357110892325	41.435691268383394	22.267516915641327	-38.646506430952556
105	58.79395611791876	44.045075409109174	21.507517937090903	-36.36426196402162
106	57.7047100270204	46.0318460929646	21.49901621714671	-36.11959608065575
107	57.85851262463048	45.96448269731394	21.67813700979923	-36.667760869746544
108	60.14940167128482	46.74967217156638	21.895222629865287	-37.51234090669128
109	62.7935920417186	46.53308461434699	22.47074023383187	-39.37290401850008
110	62.75512632871477	48.179598215344726	21.850413274821953	-37.41750135202444
111	61.81583963002458	49.7283723129663	22.356097917886522	-39.23459355777305
112	60.55822244093219	48.817571190295006	22.03231046644104	-37.90188123359593
113	61.259422353433486	47.45975666665307	22.019012863341967	-37.70270460076093
114	59.88165138539579	50.0067531652848	22.034959862844204	-38.065255334589494
115	59.40332588697897	48.05826500264823	21.70856762378144	-36.91975647625126
116	59.00852561025224	49.15731083276697	21.973658236847065	-37.63599170421774
117	56.235583813713994	49.86682306981095	22.096656227402878	-38.0437156464282
118	55.03530383404577	50.645608456843256	22.204400771796116	-38.682119268601
119	54.55715207678764	52.37651166977877	22.690296354283536	-40.17155468668243
120	55.95650796186408	52.86388403203218	22.359470559294195	-39.1001699853576
121	55.321162420425416	49.86728151101953	21.850616210860018	-37.3487190398384
122	56.4492998187252	48.905873516605844	21.633386647517955	-36.4292919908219
123	57.23054475419563	48.92506583819956	21.50027171819851	-36.03519396854276
124	55.47949802534019	50.56416879186255	21.8031703486409	-36.88769989822911
125	54.994729748013995	50.796204687144105	21.72713106998998	-36.95728441019425
126	54.624877310370444	49.14508925496448	21.38679459628641	-35.69726765217693
127	54.15178047585045	49.31415203430424	21.33804749342888	-35.23207713676844
128	52.84914848124992	51.59260544781584	21.1961216473689	-34.70828192094642
129	51.96991825460702	51.839695295330806	21.66781424180365	-36.56672512924275
130	52.49109880763143	53.56305944264742	21.78994704290016	-36.25549703812676
131	52.51097618895884	55.08682953949257	22.17393117222264	-38.18308949924523
132	51.30632367127428	54.220421421354516	21.662345718905975	-36.48150187147435
133	51.117328078263505	57.63255363929796	22.41976109347686	-39.17980463982256
134	47.16447253441768	57.07005704739754	22.559119386992947	-39.383925743544864
135	46.67023258257964	58.9304874028836	22.156375243976314	-38.111256882743255
136	46.570922588235085	56.80639681093841	22.139968144489092	-38.07333763758821
137	44.31127092347696	54.19534886128496	21.24991406064878	-34.88626652498857
138	44.228256511295555	54.082433818454696	21.097210246249816	-34.64180365440425
139	43.29689262524849	53.94519453510766	21.32132303130247	-35.04300811444789
140	41.634117609293654	50.0492899764716	20.22588432542707	-31.571203458421202
141	40.239750044602886	49.03134313148366	20.266649635720626	-31.748883483350806
142	41.720731389999976	48.08657877648674	20.353656501273758	-31.883368277817144
143	42.40655191900536	45.67754215610936	19.890726023111686	-30.57026722936061
144	43.51518708170452	46.43767668611183	19.437758752363056	-29.0753346719015
145	45.793791524574885	49.42386012120924	20.111357041061353	-30.71471933360306
146	45.545476833809595	50.4005528813121	19.951358282872476	-30.97207738345685
147	43.3659093511954	49.345896699596096	20.53343410630842	-32.59104594662984
148	44.531990097388984	51.92973331911145	21.557842712504865	-35.9716305406611
149	41.31747721620345	51.016694893473826	21.063343331422292	-34.36238000251806
150	39.32249748764757	51.598847262044764	20.894636688309852	-33.66010455641559
151	38.70242109495376	50.668062283418934	21.386877408406484	-35.46035214754023
152	38.62599606528506	47.669404319957124	20.30985373854644	-31.79540175303866
153	37.67624657081077	49.84780990058345	20.60688017813304	-32.94565433814894
154	36.506603646142075	49.65554311326835	20.63383976422746	-32.799402172156924
155	37.523925859085175	49.17251779823529	20.28566863028868	-31.5574551207416
156	37.47304718417219	49.633315464209694	20.723672473341296	-33.02669477531354
157	35.40300543767594	49.752992986961445	20.83901594276199	-33.378416847068635
158	37.37249501734088	52.005281067448344	21.49837267634426	-35.663009604158695
159	36.648574793650795	54.83792298187124	21.481623973773264	-35.81278190383092
160	36.2154269570334	57.10863033159905	22.557065397515668	-39.54822888147643
161	35.10796517850438	58.12714025677182	23.465367624023955	-42.98878545336138
162	36.05327213381805	58.488761835458675	22.99339773496345	-41.411425687686034
163	35.57659527486617	59.68190188699819	24.164900065927633	-45.89937105005859
164	34.97960045380098	59.29994822506106	23.796181399200353	-44.30459079464206
165	33.628671602518466	62.359398531709324	24.069785441596167	-45.612520062771445
166	31.308797684212823	64.4878079810577	23.659677150658595	-43.706773492848015
167	30.999438530116567	63.6800393631057	23.833924287648465	-44.31830639234706
168	30.678735329740668	62.41335708874095	24.374279682634523	-46.7074273286901
169	28.383336450092617	63.08268251123822	24.01682786147255	-45.137141304390724
170	26.92445658834387	62.52245749691515	23.970745011267663	-45.1289341351219
171	26.386802999328076	61.30825135799366	24.237502937065585	-45.916711997899924
172	26.99219181234048	63.14206485929272	23.763653988318953	-43.96627086639113
173	28.37204154799719	62.74174144764733	24.18642368210506	-45.94477083475086
174	30.959489473109493	63.17546788588955	24.440062691297683	-46.665333868178124
175	33.06833411024286	62.68471725410339	24.006395469524875	-45.22033224841721
176	32.87489125853237	61.77069765878192	23.931389174896186	-45.00271290813157
